"plot","site","region","Xcoord","Ycoord","Zcoord","canton","date","visit","surveyID","observer","municipality","bareground","vegcover","vegheight","herb","woody","sand","gravel","cobble","stone","wood","soil","flat","sloped","steep","canopy","standingdeadwood","lyingdeadwood","branchpile","stonepile","patchiness","comment","achillea","aegopodium","agrimonia","alliaria","allium","anacamptis","anemone","angelica","anthriscus","anthyllis","arctium","artemisia","ajuga","barbarea","bellis","bunias","capsella","cardamine","calystegia","campanula","carex","centaurea","cerastium","chenopodium","cirsium","clinopodium","convolvulus","conyza","coronilla","cornus","corydalis","crataegus","crepis","daucus","dianthus","dipsacus","echium","euonymus","erigeron","erucastrum","epilobium","eupatorium","euphorbia","equisetum","eschscholzia","filipendula","fragaria","frangula","fraxinus","galeopsis","galium","geranium","geum","glechoma","globularia","heracleum","helianthemum","hippocrepis","hypericum","hypochaeris","impatiens","iris","jacobaea","knautia","lamium","lapsana","lathraea","lathyrus","leontodon","lepidium","leucanthemum","lonicera","lotus","ligustum","linaria","lysimachia","lythrum","malva","medicago","melilotus","mentha","muscari","myosotis","nasturtium","oenothera","onobrychis","orchis","origanum","ornihtogalum","papaver","pastinaca","persicaria","picris","pilosella","pimpinella","plantago","potentilla","primula","prunella","prunus","ranunculus","rapistrum","rhinanthus","rosa","rubus","rumex","sanguisorba","salix","salvia","saponaria","scabiosa","scilla","scrophularia","sedum","senecio","silene","solanum","sonchus","spinaea","stachy","taraxacum","thymus","torilis","tragopogon","trifolium","tussilago","valeriana","veronica","verbena","viburnum","vicia","sum genuses","comment4","temp","wind","cloud","shade","distwater","timestart","timestop","comment2","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bbunID","xylocopa","fieldIDsum","sitebareground","sitevegcover","sitevegheight","siteherb","sitewoody","sitesand","sitegravel","sitecobble","sitestone","sitesoil","siteflat","sitesloped","sitesteep","sitecanopy","sitepatchiness","sitecornis","sitecomment","siteacer","sitecornus","sitecrataegus","siteeuonymus","sitefrangula","sitefraxinus","ligustrum","sitelonicera","siteprunus","siterosa","sitesalix","sitesambucus","siteviburnum"
1,"control","Aire",2492581,1116284,380,"GE","30.04.2025",2,"C.AI.GE.2.1","G. Egloff","Bernex",15,85,70,20,80,50,0,0,0,NA,50,25,75,0,98,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,18.8,1,10,97,0,0.477083333333333,0.492361111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"control","Aire",2492597,1116311,380,"GE","30.04.2025",2,"C.AI.GE.2.2","G. Egloff","Bernex",0,100,70,100,0,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,4,NA,22.7,1,15,0,0,0.627083333333333,0.640972222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"control","Aire",2492610,1116333,380,"GE","30.04.2025",2,"C.AI.GE.2.3","G. Egloff","Bernex",0,100,80,100,0,0,0,0,0,NA,0,25,75,0,5,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,7,NA,16.9,0,10,75,0,0.458333333333333,0.472916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"control","Aire",2492622,1116353,380,"GE","30.04.2025",2,"C.AI.GE.2.4","G. Egloff","Bernex",1,99,55,100,0,20,0,0,0,NA,80,25,75,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,21.6,1,15,0,0,0.579166666666667,0.593055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"control","Aire",2492634,1116373,380,"GE","30.04.2025",2,"C.AI.GE.2.5","G. Egloff","Bernex",5,95,50,80,20,20,0,0,0,NA,80,25,75,0,35,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,7,NA,18.8,1,10,20,0,0.502777777777778,0.522222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"control","Aire",2492646,1116394,380,"GE","30.04.2025",2,"C.AI.GE.2.6","G. Egloff","Bernex",2,98,60,100,0,0,0,0,0,NA,100,25,75,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,8,NA,21.6,1,15,30,0,0.601388888888889,0.616666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"control","Aire",2492656,1116411,380,"GE","30.04.2025",2,"C.AI.GE.2.7","G. Egloff","Bernex",1,99,60,99,1,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,20.5,0,20,0,0,0.556944444444444,0.572222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"control","Aire",2492668,1116432,380,"GE","30.04.2025",2,"C.AI.GE.2.8","G. Egloff","Bernex",0,100,60,99,1,0,0,0,0,NA,0,25,75,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,NA,20.5,1,15,0,0,0.529861111111111,0.550694444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,99,70,90,10,10,2,2,0,86,25,75,0,25,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"focal","Aire",2495403,1113774,402,"GE","01.05.2025",2,"F.AI.GE.2.1","G. Egloff","Confignon",3,97,30,80,20,90,0,0,0,NA,10,98,2,0,10,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,25.5,1,5,80,150,0.673611111111111,0.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
2,"focal","Aire",2495429,1113779,402,"GE","01.05.2025",2,"F.AI.GE.2.2","G. Egloff","Confignon",5,95,30,85,15,50,0,0,0,NA,50,85,10,5,5,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,NA,22.3,1,10,10,150,0.554166666666667,0.569444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
3,"focal","Aire",2495446,1113810,401,"GE","01.05.2025",2,"F.AI.GE.2.3","G. Egloff","Confignon",15,85,40,99,1,100,0,0,0,NA,0,95,2,3,0,0,0,0,0,3,NA,NA,NA,NA,3,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,11,NA,20.6,1,5,0,200,0.495138888888889,0.517361111111111,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,8,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
4,"focal","Aire",2495459,1113802,402,"GE","01.05.2025",2,"F.AI.GE.2.4","G. Egloff","Confignon",5,95,40,95,5,90,5,5,0,NA,0,85,10,5,3,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"anthyllis 2, silene1, valleriana 1, just outside plots",18.7,1,0,30,800,0.467361111111111,0.489583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
5,"focal","Aire",2495479,1113801,402,"GE","01.05.2025",2,"F.AI.GE.2.5","G. Egloff","Confignon",10,90,30,100,0,60,20,20,0,NA,0,90,10,0,5,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,5,NA,23.8,2,10,5,0,0.579166666666667,0.603472222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
6,"focal","Aire",2495519,1113810,402,"GE","01.05.2025",2,"F.AI.GE.2.6","G. Egloff","Confignon",5,95,40,75,25,60,0,5,0,NA,35,45,25,30,35,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,6,NA,20.6,1,5,30,300,0.522916666666667,0.538888888888889,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,3,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
7,"focal","Aire",2495525,1113833,400,"GE","01.05.2025",2,"F.AI.GE.2.7","G. Egloff","Confignon",15,85,80,90,10,90,0,0,0,NA,10,95,5,0,3,0,0,0,0,2,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,25,1,5,5,1000,0.611111111111111,0.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
8,"focal","Aire",2495526,1113823,400,"GE","01.05.2025",2,"F.AI.GE.2.8","G. Egloff","Confignon",5,95,80,90,10,0,0,0,30,NA,70,95,5,0,30,0,0,0,0,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,5,NA,25,1,5,45,0,0.647916666666667,0.661805555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,93,70,85,15,80,0,5,0,15,85,5,10,30,3,NA,NA,2,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,3
1,"control","Scheulte",2597593,1244621,444,"JU","02.05.2025",2,"C.SC.JU.2.1","G. Egloff","Val Terbi",10,90,20,97,3,0,0,0,0,NA,100,100,0,0,70,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,23.3,2,10,20,350,0.495833333333333,0.515277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,98,70,70,30,0,0,10,30,60,70,30,0,40,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2,"control","Scheulte",2597601,1244609,444,"JU","02.05.2025",2,"C.SC.JU.2.2","G. Egloff","Val Terbi",6,94,50,95,5,0,0,0,0,NA,100,95,5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,6,NA,25.4,2,10,70,400,0.595833333333333,0.609722222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,98,70,70,30,0,0,10,30,60,70,30,0,40,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
3,"control","Scheulte",2597625,1244588,444,"JU","02.05.2025",2,"C.SC.JU.2.3","G. Egloff","Val Terbi",30,70,180,60,40,0,0,0,0,80,20,50,50,0,50,0,0,1,0,1,"80% branch pile cover",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,NA,26,1,5,90,100,0.617361111111111,0.633333333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,98,70,70,30,0,0,10,30,60,70,30,0,40,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
4,"control","Scheulte",2597636,1244585,444,"JU","02.05.2025",2,"C.SC.JU.2.4","G. Egloff","Val Terbi",5,95,40,75,25,0,0,0,0,NA,100,70,30,0,30,1,6,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,24.5,2,10,70,100,0.521527777777778,0.538194444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,98,70,70,30,0,0,10,30,60,70,30,0,40,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
